train_loss_step,train_accuracy_step,epoch,step,train_loss_epoch,train_accuracy_epoch
1.3999179601669312,0.34375,0,49,,
1.3686679601669312,0.375,0,99,,
1.1811679601669312,0.5625,0,149,,
1.1499179601669312,0.59375,0,199,,
,,0,199,1.243547797203064,0.49953123927116394
1.2749179601669312,0.46875,1,249,,
1.2749179601669312,0.46875,1,299,,
1.3374179601669312,0.40625,1,349,,
1.2436679601669312,0.5,1,399,,
,,1,399,1.243667721748352,0.5
1.3061679601669312,0.4375,2,449,,
1.2749179601669312,0.46875,2,499,,
1.0874180793762207,0.65625,2,549,,
1.0874180793762207,0.65625,2,599,,
,,2,599,1.243667721748352,0.5
1.2436679601669312,0.5,3,649,,
1.2124179601669312,0.53125,3,699,,
1.1186679601669312,0.625,3,749,,
1.3061679601669312,0.4375,3,799,,
,,3,799,1.243667721748352,0.5
1.2124179601669312,0.53125,4,849,,
1.0561679601669312,0.6875,4,899,,
1.1186679601669312,0.625,4,949,,
1.2436679601669312,0.5,4,999,,
,,4,999,1.243667721748352,0.5
1.3374179601669312,0.40625,5,1049,,
1.1811679601669312,0.5625,5,1099,,
1.2436679601669312,0.5,5,1149,,
1.0874180793762207,0.65625,5,1199,,
,,5,1199,1.243667721748352,0.5
1.2124179601669312,0.53125,6,1249,,
1.3061679601669312,0.4375,6,1299,,
1.2436679601669312,0.5,6,1349,,
1.1499179601669312,0.59375,6,1399,,
,,6,1399,1.243667721748352,0.5
1.1499179601669312,0.59375,7,1449,,
1.1811679601669312,0.5625,7,1499,,
1.2436679601669312,0.5,7,1549,,
1.3061679601669312,0.4375,7,1599,,
,,7,1599,1.243667721748352,0.5
1.2749179601669312,0.46875,8,1649,,
1.3374179601669312,0.40625,8,1699,,
1.1811679601669312,0.5625,8,1749,,
1.2124179601669312,0.53125,8,1799,,
,,8,1799,1.243667721748352,0.5
1.1811679601669312,0.5625,9,1849,,
1.2749179601669312,0.46875,9,1899,,
1.3061679601669312,0.4375,9,1949,,
1.2749179601669312,0.46875,9,1999,,
,,9,1999,1.243667721748352,0.5
