train_loss_step,train_accuracy_step,epoch,step,train_loss_epoch,train_accuracy_epoch
1.3999179601669312,0.34375,0,49,,
1.2749179601669312,0.46875,0,99,,
1.3374179601669312,0.40625,0,149,,
1.2749179601669312,0.46875,0,199,,
,,0,199,1.2445101737976074,0.5001562237739563
1.2436679601669312,0.5,1,249,,
1.1811679601669312,0.5625,1,299,,
1.2749179601669312,0.46875,1,349,,
1.3374179601669312,0.40625,1,399,,
,,1,399,1.2436676025390625,0.5
1.2124179601669312,0.53125,2,449,,
1.3374179601669312,0.40625,2,499,,
1.3374179601669312,0.40625,2,549,,
1.1811679601669312,0.5625,2,599,,
,,2,599,1.2438210248947144,0.4998437464237213
1.2124179601669312,0.53125,3,649,,
1.1186679601669312,0.625,3,699,,
1.2436679601669312,0.5,3,749,,
1.2749179601669312,0.46875,3,799,,
,,3,799,1.243667721748352,0.5
1.4311679601669312,0.3125,4,849,,
1.1811680793762207,0.5625,4,899,,
1.2436679601669312,0.5,4,949,,
1.0249180793762207,0.71875,4,999,,
,,4,999,1.243667721748352,0.5
1.3686679601669312,0.375,5,1049,,
1.2436679601669312,0.5,5,1099,,
1.3061679601669312,0.4375,5,1149,,
1.2124179601669312,0.53125,5,1199,,
,,5,1199,1.243667721748352,0.5
1.1811679601669312,0.5625,6,1249,,
1.0874180793762207,0.65625,6,1299,,
1.3061680793762207,0.4375,6,1349,,
1.2749180793762207,0.46875,6,1399,,
,,6,1399,1.243667721748352,0.5
1.3374179601669312,0.40625,7,1449,,
1.2124179601669312,0.53125,7,1499,,
1.1499179601669312,0.59375,7,1549,,
1.2124179601669312,0.53125,7,1599,,
,,7,1599,1.243667721748352,0.5
1.2436679601669312,0.5,8,1649,,
1.2436679601669312,0.5,8,1699,,
1.3061679601669312,0.4375,8,1749,,
1.2124179601669312,0.53125,8,1799,,
,,8,1799,1.243667721748352,0.5
1.1811679601669312,0.5625,9,1849,,
1.0874180793762207,0.65625,9,1899,,
1.2436680793762207,0.5,9,1949,,
1.2436679601669312,0.5,9,1999,,
,,9,1999,1.243667721748352,0.5
