train_loss_step,train_accuracy_step,epoch,step,train_loss_epoch,train_accuracy_epoch
1.3374179601669312,0.40625,0,49,,
1.3686679601669312,0.375,0,99,,
1.1811679601669312,0.5625,0,149,,
1.2436679601669312,0.5,0,199,,
,,0,199,1.2447611093521118,0.4984374940395355
1.3061679601669312,0.4375,1,249,,
1.1186680793762207,0.625,1,299,,
1.2436679601669312,0.5,1,349,,
1.1811679601669312,0.5625,1,399,,
,,1,399,1.243667721748352,0.5
1.2436679601669312,0.5,2,449,,
1.3061679601669312,0.4375,2,499,,
1.1811679601669312,0.5625,2,549,,
1.2436679601669312,0.5,2,599,,
,,2,599,1.243667721748352,0.5
1.2436679601669312,0.5,3,649,,
1.1811680793762207,0.5625,3,699,,
1.2124179601669312,0.53125,3,749,,
1.2124180793762207,0.53125,3,799,,
,,3,799,1.243667721748352,0.5
1.1186680793762207,0.625,4,849,,
1.2749179601669312,0.46875,4,899,,
1.1811679601669312,0.5625,4,949,,
1.2436679601669312,0.5,4,999,,
,,4,999,1.243667721748352,0.5
1.2124179601669312,0.53125,5,1049,,
1.1811679601669312,0.5625,5,1099,,
1.0874180793762207,0.65625,5,1149,,
1.2124179601669312,0.53125,5,1199,,
,,5,1199,1.243667721748352,0.5
1.2749179601669312,0.46875,6,1249,,
1.2124179601669312,0.53125,6,1299,,
1.2124180793762207,0.53125,6,1349,,
1.1811680793762207,0.5625,6,1399,,
,,6,1399,1.243667721748352,0.5
